V;I*R;
-0,138;-0,11;
0,048;-0,11;
0,485;-0,11;
0,856;-0,1;
1,174;-0,1;
1,409;-0,09;
1,868;-0,03;
2,486;9,69;
2,855;34,69;
3,135;52,78;
3,514;66,26;
3,665;69,32;
3,88;72,85;
3,953;73,95;
4,11;76,03;
4,325;78,43;
4,483;79,82;
4,527;80,22;
4,574;80,58;
4,628;80,99;
4,798;82,05;
4,928;82,71;
5,023;83,11;
5,123;83,5;
5,241;83,84;
5,457;84,31;
5,607;84,5;
5,716;84,6;
5,864;84,62;
6,018;84,51;
6,052;84,47;
6,193;84,2;
6,259;84,07;
6,752;81,76;
7,023;79,94;
7,185;78,73;
7,514;76,19;
7,848;73,56;
8,028;72,18;
8,342;69,98;
8,738;67,75;
9,127;66,05;
9,339;65,58;
9,571;65,39;
9,81;65,57;
10,002;66,02;
10,18;66,76;
10,654;69,49;
8,902;67,02;
8,984;66,71;
9,078;66,42;
9,206;66,07;
9,345;65,76;
9,421;65,6;
9,48;65,54;
9,503;65,54;
9,673;65,51;
10,654;69,45;down
10,21;66,87;
9,868;65,81;
9,389;65,61;
8,921;66,95;
9,914;65,93;
9,841;65,79;
9,795;65,79;
9,656;65,6;
9,51;65,61;
9,441;65,66;
9,561;65,58;
9,629;65,61;
90,85;66,39;
8,582;68,61;
7,79;47,15;
7,651;75,23;
7,392;77,2;
7,082;79,5;
6,868;80,98;
6,563;82,72;
6,475;83,155;
6,15;84,13;
6,026;84,35;
5,631;84,26;
5,412;83,95;
4,758;81,26;
4,178;75,81;
3,146;50,38;
2,652;1,7;
1,372;-0,05;
0,567;-0,07;
-0,133;-0,07;
6,632;81,45;
6,544;82,02;
6,467;82,48;
6,385;82,92;
6,277;83,29;
6,183;83,7;
6,043;84,04;
5,957;83,33;
5,907;84,38;
5,825;84,4;
5,739;84,38;
5,698;84,36;
5,636;84,35;
5,551;84,25;
5,372;83,92;
