V I
0.04 0
2.32 2
3.09 4
3.66 6
4.27 8
4.90 10
5.58 12
6.22 14
6.82 16
7.44 18
7.92 20
8.44 22
8.99 24
9.5 26
9.91 28
10.42 30
10.98 32
11.40 34
11.86 36
12.33 38
12.76 40
13.30 42
13.73 44
14.30 48
14.60 48
15.20 50
15.75 52
16.19 54
16.79 56
17.14 58
17.86 60
18.40 62
19.06 64
19.92 66
20.69 68
21.15 69
22.06 70
23.90 71
24.83 46
26.69 48
27.08 50
27.34 52
27.76 54
28.13 56
28.60 58
28.9 60
29.3 62
29.75 64
30.28 66
30.54 68
30.72 69
31.34 72
31.81 74
32.20 76
32.72 78
33.11 80
33.46 82
33.96 84
34.45 86
34.66 88
35.79 90
36.85 92
38.79 93
39.45 92
39.66 91
40.33 90
40.71 89
41.29 88
41.85 87
42.47 86
42.75 85
43.31 84
44.06 83
44.80 82
45.7 81
48.9 82
50.28 83
51.11 84
52.4 86
53.71 88
54.82 90
56.62 92
57.55 94
59.1 96
61.41 98
67.25 99
